bin,f606w_err,f814w_err,color_err
18.25,0.057249999999999995,0.058124999999999996,0.0816034456695873
18.75,0.02775,0.021625000000000002,0.035194636616344636
19.25,0.0015,0.0015714285714285713,0.002242399288005283
19.75,0.0023125,0.002,0.0031084593741691094
20.25,0.002736842105263158,0.0024210526315789475,0.003729559420179774
20.75,0.004944444444444444,0.003333333333333333,0.006139701179901691
21.25,0.0059,0.006533333333333334,0.009860941082414644
21.75,0.005821428571428572,0.0049642857142857145,0.007938326550500504
22.25,0.006587155963302752,0.007284403669724771,0.010153479361521335
22.75,0.007948275862068966,0.013275862068965517,0.01604092234189146
23.25,0.015314285714285716,0.028176190476190476,0.03302012972282218
23.75,0.023600682593856656,0.029078498293515356,0.038040887267487986
24.25,0.026897097625329817,0.03236147757255937,0.04268897960198539
24.75,0.03225113122171946,0.03711538461538462,0.04973048661833714
25.25,0.040356989247311834,0.04374193548387097,0.06015898969572358
25.75,0.05347,0.055378,0.07794347545623956
26.25,0.08021428571428572,0.07592857142857143,0.11184808036763524
26.75,0.11156954612005857,0.10670424597364568,0.15708436866607273
27.25,0.15761883899233298,0.15039649507119388,0.22353439444761306
27.75,0.18372868217054264,0.22534883720930232,0.30109867233799387
28.25,0.16325641025641024,0.37353846153846154,0.41037046744953065
28.75,0.157,0.4496470588235294,0.4770105899268033
